quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
320	1.0	81	81	0	0	4/4	4	1		1	V7(96)	dcml	a	vii		V7(96)		V		7	96				Mm7	1	1	1, 5, -3, -1	-4	1	1
321	3.0	81	81	1/4	1/4	4/4	4	1		1	V7(9)	dcml	a	vii		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
324	1.0	82	82	0	0	4/4	4	1		1	i64(11)	dcml	a	vii		i64(11)		i		64	11				m	1	1	1, 0, -3	-1	0	1
325	3.0	82	82	1/4	1/4	4/4	4	1		1	i64	dcml	a	vii		i64		i		64					m	1	1	1, 0, -3		0	1
328	1.0	83	83	0	0	4/4	4	1		1	V7	dcml	a	vii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
329	3.0	83	83	1/4	1/4	4/4	4	1		1	V65	dcml	a	vii		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
332	1.0	84	84	0	0	4/4	4	1		1	iii.#viio43(2)	dcml	a	iii		#viio43(2)		#vii	o	43	2				o7	1	1	-1, -4, 0, 2		5	-1
333	2.0	84	84	1/4	1/4	4/4	4	1		1	V43	dcml	a	iii		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
335	0.5	84	84	3/4	3/4	4/4	4	1		1	i6(6)	dcml	a	iii		i6(6)		i		6	6				m	1	1	-3, -4, 0		0	-3
671/2	0.5	84	84	7/8	7/8	4/4	4	1		1	i	dcml	a	iii		i		i							m	1	1	0, -3, 1		0	0
336	2.0	85	85	0	0	4/4	4	1		1	V6	dcml	a	iii		V6		V		6					M	1	1	5, 2, 1		1	5
338	2.0	85	85	1/2	1/2	4/4	4	1		1	V65	dcml	a	iii		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
