mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
129	129	153	129a	228	192	0.5	0	0	3/8	4	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
129	129	153	129a	457/2	385/2	1.0	1/8	1/8	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
130	130	154	130a	459/2	387/2	1.5	0	0	3/8	4	1	viio	G	I		viio	vii	o						o	0	0	5, 2, -1		5	5
131	131	155	131a	231	195	6.0	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
135	135	159	135a	237	201	1.5	0	0	3/8	4	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
136	136	160	136a	477/2	405/2	0.5	0	0	3/8	4	1	V(4)	G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
136	136	160	136a	239	203	1.0	1/8	1/8	3/8	4	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
137	137	161	137a	240	204	0.5	0	0	3/8	4	1	IV.V2	G	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
137	137	161	137a	481/2	409/2	0.5	1/8	1/8	3/8	4	1	I6	G	IV		I6	I		6					M	0	0	4, 1, 0		0	4
137	137	161	137a	241	205	0.5	1/4	1/4	3/8	4	1	I	G	IV		I	I							M	0	0	0, 4, 1		0	0
138	138	162	138a	483/2	411/2	0.5	0	0	3/8	4	1	V6	G	IV		V6	V		6					M	0	0	5, 2, 1		1	5
138	138	162	138a	242	206	0.5	1/8	1/8	3/8	4	1	V/V	G	IV		V/V	V				V			M	0	0	2, 6, 3		2	2
138	138	162	138a	485/2	413/2	0.5	1/4	1/4	3/8	4	1	iv6	G	IV		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4
139	139	163	139a	243	207	0.5	0	0	3/8	4	1	iio64	G	IV		iio64	ii	o	64					o	0	0	-4, 2, -1		2	-4
139	139	163	139a	487/2	415/2	1.0	1/8	1/8	3/8	4	1	V7	G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
140	140	164	140a	489/2	417/2	0.5	0	0	3/8	4	1	V(64)	G	IV		V(64)	V			64				M	0	0	1, 0, 4		1	1
140	140	164	140a	245	209	1.0	1/8	1/8	3/8	4	1	V7	G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
141	141	165	141a	246	210	3.0	0	0	3/8	4	1	I	G	IV		I	I							M	0	0	0, 4, 1		0	0
143	143	167	143a	249	213	0.5	0	0	3/8	4	1	I.I	G	I		I	I							M	0	0	0, 4, 1		0	0
143	143	167	143a	499/2	427/2	0.5	1/8	1/8	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
143	143	167	143a	250	214	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
144	144	168	144a	501/2	429/2	0.5	0	0	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
144	144	168	144a	251	215	0.5	1/8	1/8	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
144	144	168	144a	503/2	431/2	0.5	1/4	1/4	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
145	145	169	145a	252	216	0.5	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
145	145	169	145a	505/2	433/2	0.5	1/8	1/8	3/8	4	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
145	145	169	145a	253	217	1.0	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
146	146	170	146a	254	218	0.5	1/8	1/8	3/8	4	1	I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
146	146	170	146a	509/2	437/2	0.5	1/4	1/4	3/8	4	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
147	147	171	147a	255	219	1.0	0	0	3/8	4	1	V7(9)	G	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
147	147	171	147a	256	220	0.5	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
148	148	172	148a	513/2	441/2	0.5	0	0	3/8	4	1	I6(9)	G	I		I6(9)	I		6	9				M	0	0	4, 1, 0	2	0	4
148	148	172	148a	257	221	1.0	1/8	1/8	3/8	4	1	V(64)	G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
149	149	173	149a	258	222	1.0	0	0	3/8	4	1	V7(9)	G	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
149	149	173	149a	259	223	1.0	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
150	150	174	150a	260	224	0.5	1/8	1/8	3/8	4	1	I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
150	150	174	150a	521/2	449/2	0.5	1/4	1/4	3/8	4	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
