mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
54	53	54	53a	210	210	2.0	1/4	1/4	4/4	4	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
54	53	54	53a	212	212	0.5	3/4	3/4	4/4	4	1		V43	c	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
54	53	54	53a	425/2	425/2	0.5	7/8	7/8	4/4	4	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
55	54	55	54a	213	213	1.0	0	0	4/4	4	1		V6	c	III		V6		V		6					M	1	0	5, 2, 1		1	5
55	54	55	54a	214	214	1.0	1/4	1/4	4/4	4	1		V43	c	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
55	54	55	54a	215	215	1.0	1/2	1/2	4/4	4	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
55	54	55	54a	216	216	1.0	3/4	3/4	4/4	4	1		V65	c	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
56	55	56	55a	217	217	1.0	0	0	4/4	4	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
56	55	56	55a	218	218	2.0	1/4	1/4	4/4	4	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
56	55	56	55a	220	220	0.5	3/4	3/4	4/4	4	1		V43	c	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
56	55	56	55a	441/2	441/2	0.5	7/8	7/8	4/4	4	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
57	56	57	56a	221	221	1.0	0	0	4/4	4	1		V6	c	III		V6		V		6					M	1	0	5, 2, 1		1	5
57	56	57	56a	222	222	1.0	1/4	1/4	4/4	4	1		V43	c	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
57	56	57	56a	223	223	1.0	1/2	1/2	4/4	4	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
57	56	57	56a	224	224	1.0	3/4	3/4	4/4	4	1		V65	c	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
58	57	58	57a	225	225	1.0	0	0	4/4	4	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
58	57	58	57a	226	226	2.0	1/4	1/4	4/4	4	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
58	57	58	57a	228	228	0.5	3/4	3/4	4/4	4	1		V43	c	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
58	57	58	57a	457/2	457/2	1.0	7/8	7/8	4/4	4	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
59	58	59	58a	459/2	459/2	1.0	1/8	1/8	4/4	4	1		IV	c	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
59	58	59	58a	461/2	461/2	0.5	3/8	3/8	4/4	4	1		IV+	c	III		IV+		IV	+						+	1	0	-1, 3, 7		-1	-1
59	58	59	58a	231	231	1.0	1/2	1/2	4/4	4	1		ii6	c	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
59	58	59	58a	232	232	0.5	3/4	3/4	4/4	4	1		#viio6/ii	c	III		#viio6/ii		#vii	o	6		ii			o	1	0	4, 1, 7		7	4
59	58	59	58a	465/2	465/2	0.5	7/8	7/8	4/4	4	1		ii	c	III		ii		ii							m	1	0	2, -1, 3		2	2
60	59	60	59a	233	233	1.0	0	0	4/4	4	1		V7	c	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
60	59	60	59a	234	234	1.0	1/4	1/4	4/4	4	1		V(64)	c	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
60	59	60	59a	235	235	1.0	1/2	1/2	4/4	4	1		viio7/V	c	III		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
60	59	60	59a	236	236	1.0	3/4	3/4	4/4	4	1		V2	c	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
61	60	61	60a	237	237	3.0	0	0	4/4	4	1		I6	c	III		I6		I		6					M	1	0	4, 1, 0		0	4
61	60	61	60a	240	240	0.5	3/4	3/4	4/4	4	1		V43	c	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
61	60	61	60a	481/2	481/2	0.5	7/8	7/8	4/4	4	1		I	c	III		I		I							M	1	0	0, 4, 1		0	0
62	61	62	61a	241	241	0.5	0	0	4/4	4	1		ii65	c	III		ii65		ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
62	61	62	61a	483/2	483/2	2.5	1/8	1/8	4/4	4	1		ii6	c	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
62	61	62	61a	244	244	0.5	3/4	3/4	4/4	4	1		V43/ii	c	III		V43/ii		V		43		ii			Mm7	1	0	4, 1, 3, 7		3	4
62	61	62	61a	489/2	489/2	0.5	7/8	7/8	4/4	4	1		ii	c	III		ii		ii							m	1	0	2, -1, 3		2	2
63	62	63	62a	245	245	3.0	0	0	4/4	4	1		#viio43/ii	c	III		#viio43/ii		#vii	o	43		ii			o7	1	0	1, -2, 7, 4		7	1
63	62	63	62a	248	248	0.5	3/4	3/4	4/4	4	1		ii6	c	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
63	62	63	62a	497/2	497/2	0.5	7/8	7/8	4/4	4	1		V7/vi	c	III		V7/vi		V		7		vi			Mm7	1	0	4, 8, 5, 2		4	4
64	63	64	63a	249	249	1.5	0	0	4/4	4	1		ii6	c	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
